剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
富贵在天,2007,赖水清,晓月,叶童 / 倪齐民 / 白珊,剧情,中国大陆,38,,6.4,83
最后一枪,2012,范冬雨,,保剑锋 / 刘钧 / 戴娇倩 / 涂黎曼 / 李崇霄,剧情,中国大陆,32,40,6.4,106
小家大事,2008,刘新,刘新 / 宋秋雁,李立群 / 奚美娟 / 张歆艺 / 高云翔 / 符荷晴 / 刘龙 / 于小慧 / 王华英 / 范明 / 刘力扬,剧情 / 家庭,中国大陆,27,,6.4,101
壮丁也是兵,2015,刘涛,由甲,徐梵溪 / 奇道 / 陈创 / 姜寒 / 斌子 / 王讯,剧情 / 战争,中国大陆,35,45,6.4,151
相逢何必曾相识,2007,谭友业,,林佑威 / 杨幂 / 江宏恩 / 董璇 / 秦风 / 聂远 / 李丽珍,,中国大陆,36,,6.4,158
东北抗日联军,2015,李文歧,刘彦武 / 乔万民 / 苗若木,李泓良 / 王洛勇 / 成泰燊 / 张秋歌 / 刘威葳 / 寇振海 / 储智博 / 程煜,剧情 / 战争,中国大陆,30,,6.4,171
书剑情侠柳三变,2004,陈浩威,关渤、王鹏,林志颖 / 何美钿 / 胡可,,中国大陆,30,,6.4,145
努尔哈赤,1986,陈家林,,候永生 / 傅艺伟,,中国大陆,16,,6.4,168
大侦探,2010,张家和,张家和 / 张为,梁冠华 / 须乾 / 李泽锋 / 吴冕 / 张乐 / 朱小渔 / 马睿,喜剧 / 悬疑 / 犯罪,中国大陆,40,40,6.4,206
中国骑兵,2012,宁海强,黄晓峰,王雷 / 李健 / 马苏 / 冯国庆 / 宋笠娜 / 荆明华 / 芦芳生 / 徐洪浩 / 王小虎 / 曹凯 / 杨淼 / 李嘉明,剧情 / 历史 / 战争,中国大陆,32,40,6.4,173
离爱,2012,王硕,冀楚忱 / 张冠仁,黄宥明 / 张嘉倪 / 郑恺 / 田沅 / 李晟 / 张晓晨 / 彭宇 / 马书良 / 梁丹妮 / 石燕京 / 姜雨辰,剧情,中国大陆,26,,6.4,84
零号国境线,2010,张自强,石投、熊早,王雷 / 王挺 / 袁苑,悬疑 / 犯罪,中国大陆,23,40,6.4,154
房奴,2009,张晓光,席琳,陈瑾 / 丁海峰 / 李明启 / 黄小蕾 / 涂松岩 / 牛犇 / 郑逸桐 / 张宁益 / 芦菲 / 佟凡 / 赵越,剧情 / 家庭,中国大陆,28,,6.4,49
等到胜利那一天,2010,包福明,路远,焦恩俊 / 孙菲菲 / 张光北,,中国大陆,30,,6.4,57
唐山绝恋,2006,郝冰 / 钟少雄 / 李雪健,关仁山 / 王家汇,李雪健 / 张延 / 兵洁,剧情 / 灾难,中国大陆,22,,6.4,50
养母,2011,温成林,,王雅捷 / 矢野浩二 / 徐僧 / 高云翔,剧情 / 家庭,中国大陆,36,,6.4,55
少林七崁,2001,苏沅峰 / 张艺腾,,元彪 / 杨童舒 / 张庭,剧情 / 古装,中国大陆,20,,6.4,42
